gene,role_category,target_class,biological_process,interpretation_note
CDK1,Core cell-cycle essential,Cell-cycle kinase,Mitosis and cell-cycle progression,CDK1 is a core cell-cycle kinase; dependency signals are likely to carry broad essentiality risk.
MKI67,Proliferation marker,Proliferation marker,Cell proliferation,MKI67 is primarily a proliferation marker; dependency or expression signals may reflect tumor growth rate rather than targetability.
TOP2A,Proliferation/DNA topology,DNA topoisomerase,DNA replication and chromosome segregation,TOP2A is linked to proliferation and DNA topology; strong dependency may reflect broad essentiality.
AURKA,Mitotic kinase,Cell-cycle kinase,Mitosis and chromosome segregation,AURKA is a mitotic kinase; dependency should be checked for selectivity versus general proliferation.
MMP9,Invasion/ECM remodeling,Secreted protease,Extracellular matrix remodeling and invasion,"MMP9 is best interpreted through invasion, microenvironment, and remodeling biology rather than direct dependency alone."
AKT1,Oncogene / signaling kinase,Serine/threonine kinase,AKT signaling,AKT1 should be interpreted through AKT signaling context; do not infer therapeutic actionability from one evidence layer alone.
ALK,Oncogenic fusion kinase,Receptor tyrosine kinase,Fusion-driven RTK signaling,ALK should be interpreted through Fusion-driven RTK signaling context; do not infer therapeutic actionability from one evidence layer alone.
APC,Tumor suppressor,WNT destruction-complex regulator,WNT signaling,APC should be interpreted through WNT signaling context; do not infer therapeutic actionability from one evidence layer alone.
AR,Lineage/onco-dependency transcription factor,Nuclear hormone receptor,Androgen receptor signaling,AR should be interpreted through Androgen receptor signaling context; do not infer therapeutic actionability from one evidence layer alone.
ARID1A,Chromatin regulator / tumor suppressor,SWI/SNF chromatin regulator,Chromatin remodeling,ARID1A should be interpreted through Chromatin remodeling context; do not infer therapeutic actionability from one evidence layer alone.
ARID1B,Chromatin regulator / tumor suppressor,SWI/SNF chromatin regulator,Chromatin remodeling,ARID1B should be interpreted through Chromatin remodeling context; do not infer therapeutic actionability from one evidence layer alone.
ATM,DNA damage response tumor suppressor,DNA damage response kinase,DNA repair checkpoint signaling,ATM should be interpreted through DNA repair checkpoint signaling context; do not infer therapeutic actionability from one evidence layer alone.
ATR,DNA damage response kinase,Replication stress response kinase,DNA replication stress response,ATR should be interpreted through DNA replication stress response context; do not infer therapeutic actionability from one evidence layer alone.
ATRX,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,ATRX is included as a curated cancer-context gene; interpretation requires layer-specific validation.
AXIN1,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,AXIN1 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
B2M,Immune antigen-presentation gene,MHC class I component,Antigen presentation,B2M should be interpreted through Antigen presentation context; do not infer therapeutic actionability from one evidence layer alone.
BAP1,Tumor suppressor / chromatin regulator,Deubiquitinase,Chromatin regulation and DNA repair,BAP1 should be interpreted through Chromatin regulation and DNA repair context; do not infer therapeutic actionability from one evidence layer alone.
BCL2,Apoptosis regulator oncogene,Anti-apoptotic protein,Apoptosis suppression,BCL2 should be interpreted through Apoptosis suppression context; do not infer therapeutic actionability from one evidence layer alone.
BCL6,Lineage transcription factor oncogene,Transcriptional repressor,B-cell state regulation,BCL6 should be interpreted through B-cell state regulation context; do not infer therapeutic actionability from one evidence layer alone.
BRAF,Oncogene,Serine/threonine kinase,MAPK signaling,BRAF should be interpreted through MAPK signaling context; do not infer therapeutic actionability from one evidence layer alone.
BRCA1,DNA repair tumor suppressor,Homologous recombination repair gene,DNA double-strand break repair,BRCA1 should be interpreted through DNA double-strand break repair context; do not infer therapeutic actionability from one evidence layer alone.
BRCA2,DNA repair tumor suppressor,Homologous recombination repair gene,DNA double-strand break repair,BRCA2 should be interpreted through DNA double-strand break repair context; do not infer therapeutic actionability from one evidence layer alone.
CASP8,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,CASP8 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
CCND1,Oncogene / cell-cycle regulator,Cyclin,CDK4/6-RB control,CCND1 should be interpreted through CDK4/6-RB control context; do not infer therapeutic actionability from one evidence layer alone.
CCND2,Oncogene / cell-cycle regulator,Cyclin,CDK4/6-RB control,CCND2 should be interpreted through CDK4/6-RB control context; do not infer therapeutic actionability from one evidence layer alone.
CCNE1,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,CCNE1 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
CD19,B-cell surface antigen,Surface antigen,B-cell antigen context,CD19 should be interpreted through B-cell antigen context context; do not infer therapeutic actionability from one evidence layer alone.
CD274,Immune checkpoint ligand,Immune checkpoint ligand,Tumor immune evasion,CD274 should be interpreted through Tumor immune evasion context; do not infer therapeutic actionability from one evidence layer alone.
CD276,Immune/tumor-associated surface antigen,Immune checkpoint / surface antigen,Tumor immune interaction,CD276 should be interpreted through Tumor immune interaction context; do not infer therapeutic actionability from one evidence layer alone.
CD79B,B-cell receptor pathway gene,BCR component,B-cell receptor signaling,CD79B should be interpreted through B-cell receptor signaling context; do not infer therapeutic actionability from one evidence layer alone.
CDH1,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,CDH1 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
CDK4,Oncogene / cell-cycle kinase,Cyclin-dependent kinase,CDK4/6-RB control,CDK4 should be interpreted through CDK4/6-RB control context; do not infer therapeutic actionability from one evidence layer alone.
CDK6,Oncogene / cell-cycle kinase,Cyclin-dependent kinase,CDK4/6-RB control,CDK6 should be interpreted through CDK4/6-RB control context; do not infer therapeutic actionability from one evidence layer alone.
CDKN2A,Tumor suppressor,Cell-cycle inhibitor locus,CDK4/6-RB control,CDKN2A should be interpreted through CDK4/6-RB control context; do not infer therapeutic actionability from one evidence layer alone.
CDKN2B,Tumor suppressor,Cell-cycle inhibitor locus,CDK4/6-RB control,CDKN2B should be interpreted through CDK4/6-RB control context; do not infer therapeutic actionability from one evidence layer alone.
CEBPA,Lineage transcription factor,Transcription factor,Myeloid differentiation,CEBPA should be interpreted through Myeloid differentiation context; do not infer therapeutic actionability from one evidence layer alone.
CHEK1,DNA damage response kinase,Checkpoint kinase,Replication stress checkpoint,CHEK1 should be interpreted through Replication stress checkpoint context; do not infer therapeutic actionability from one evidence layer alone.
CHEK2,DNA damage response tumor suppressor,Checkpoint kinase,DNA damage checkpoint,CHEK2 should be interpreted through DNA damage checkpoint context; do not infer therapeutic actionability from one evidence layer alone.
CIC,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,CIC is included as a curated cancer-context gene; interpretation requires layer-specific validation.
CLDN18,Tumor-associated surface antigen,Tight-junction / surface antigen,Epithelial lineage antigen context,CLDN18 should be interpreted through Epithelial lineage antigen context context; do not infer therapeutic actionability from one evidence layer alone.
CREBBP,Epigenetic regulator,Histone acetyltransferase,Chromatin regulation,CREBBP should be interpreted through Chromatin regulation context; do not infer therapeutic actionability from one evidence layer alone.
CTNNB1,Oncogene / pathway effector,Beta-catenin,WNT signaling,CTNNB1 should be interpreted through WNT signaling context; do not infer therapeutic actionability from one evidence layer alone.
CYSLTR2,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,CYSLTR2 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
DDR2,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,DDR2 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
DNMT3A,Epigenetic regulator / tumor suppressor,DNA methyltransferase,DNA methylation,DNMT3A should be interpreted through DNA methylation context; do not infer therapeutic actionability from one evidence layer alone.
EGFR,Oncogene,Receptor tyrosine kinase,RTK signaling,EGFR should be interpreted through RTK signaling context; do not infer therapeutic actionability from one evidence layer alone.
EIF1AX,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,EIF1AX is included as a curated cancer-context gene; interpretation requires layer-specific validation.
EP300,Epigenetic regulator,Histone acetyltransferase,Chromatin regulation,EP300 should be interpreted through Chromatin regulation context; do not infer therapeutic actionability from one evidence layer alone.
EPCAM,Epithelial surface antigen,Cell adhesion / surface antigen,Epithelial identity,EPCAM should be interpreted through Epithelial identity context; do not infer therapeutic actionability from one evidence layer alone.
EPHA2,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,EPHA2 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
ERBB2,Oncogene,Receptor tyrosine kinase,HER2/RTK signaling,ERBB2 should be interpreted through HER2/RTK signaling context; do not infer therapeutic actionability from one evidence layer alone.
ERBB3,Oncogene / pathway receptor,Receptor tyrosine kinase family member,HER/PI3K signaling,ERBB3 should be interpreted through HER/PI3K signaling context; do not infer therapeutic actionability from one evidence layer alone.
ERG,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,ERG is included as a curated cancer-context gene; interpretation requires layer-specific validation.
ESR1,Lineage/onco-dependency transcription factor,Nuclear hormone receptor,Estrogen receptor signaling,ESR1 should be interpreted through Estrogen receptor signaling context; do not infer therapeutic actionability from one evidence layer alone.
EZH2,Epigenetic regulator oncogene,Histone methyltransferase,Polycomb repression,EZH2 should be interpreted through Polycomb repression context; do not infer therapeutic actionability from one evidence layer alone.
FAT1,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,FAT1 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
FBXW7,Tumor suppressor / protein turnover regulator,E3 ubiquitin ligase component,Protein turnover,FBXW7 should be interpreted through Protein turnover context; do not infer therapeutic actionability from one evidence layer alone.
FGF19,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,FGF19 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
FGFR1,Oncogene / pathway receptor,Receptor tyrosine kinase,FGF signaling,FGFR1 should be interpreted through FGF signaling context; do not infer therapeutic actionability from one evidence layer alone.
FGFR2,Oncogene / pathway receptor,Receptor tyrosine kinase,FGF signaling,FGFR2 should be interpreted through FGF signaling context; do not infer therapeutic actionability from one evidence layer alone.
FGFR3,Oncogene / pathway receptor,Receptor tyrosine kinase,FGF signaling,FGFR3 should be interpreted through FGF signaling context; do not infer therapeutic actionability from one evidence layer alone.
FH,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,FH is included as a curated cancer-context gene; interpretation requires layer-specific validation.
FLT3,Oncogene,Receptor tyrosine kinase,FLT3 signaling,FLT3 should be interpreted through FLT3 signaling context; do not infer therapeutic actionability from one evidence layer alone.
FOLR1,Tumor-associated surface antigen,Surface receptor,Folate receptor antigen context,FOLR1 should be interpreted through Folate receptor antigen context context; do not infer therapeutic actionability from one evidence layer alone.
FOXA1,Lineage transcription factor,Pioneer transcription factor,Hormone receptor chromatin program,FOXA1 should be interpreted through Hormone receptor chromatin program context; do not infer therapeutic actionability from one evidence layer alone.
FUBP1,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,FUBP1 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
GATA3,Lineage transcription factor,Transcription factor,Breast/luminal lineage state,GATA3 should be interpreted through Breast/luminal lineage state context; do not infer therapeutic actionability from one evidence layer alone.
GNA11,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,GNA11 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
GNAQ,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,GNAQ is included as a curated cancer-context gene; interpretation requires layer-specific validation.
HIF1A,Hypoxia pathway regulator,Transcription factor,Hypoxia response,HIF1A should be interpreted through Hypoxia response context; do not infer therapeutic actionability from one evidence layer alone.
HLA-A,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,HLA-A is included as a curated cancer-context gene; interpretation requires layer-specific validation.
HRAS,Oncogene,Small GTPase,RAS-MAPK signaling,HRAS should be interpreted through RAS-MAPK signaling context; do not infer therapeutic actionability from one evidence layer alone.
IDH1,Metabolic oncogene,Metabolic enzyme,Oncometabolite production,IDH1 should be interpreted through Oncometabolite production context; do not infer therapeutic actionability from one evidence layer alone.
IDH2,Metabolic oncogene,Metabolic enzyme,Oncometabolite production,IDH2 should be interpreted through Oncometabolite production context; do not infer therapeutic actionability from one evidence layer alone.
IGF2,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,IGF2 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
IL13RA2,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,IL13RA2 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
JAK1,Immune signaling kinase,Tyrosine kinase,Interferon/JAK-STAT signaling,JAK1 should be interpreted through Interferon/JAK-STAT signaling context; do not infer therapeutic actionability from one evidence layer alone.
JAK2,Immune signaling kinase,Tyrosine kinase,JAK-STAT signaling,JAK2 should be interpreted through JAK-STAT signaling context; do not infer therapeutic actionability from one evidence layer alone.
KDM5C,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,KDM5C is included as a curated cancer-context gene; interpretation requires layer-specific validation.
KDM6A,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,KDM6A is included as a curated cancer-context gene; interpretation requires layer-specific validation.
KEAP1,Tumor suppressor / stress pathway regulator,NRF2 pathway repressor,Oxidative stress response,KEAP1 should be interpreted through Oxidative stress response context; do not infer therapeutic actionability from one evidence layer alone.
KIT,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,KIT is included as a curated cancer-context gene; interpretation requires layer-specific validation.
KMT2C,Epigenetic regulator,Histone methyltransferase,Chromatin regulation,KMT2C should be interpreted through Chromatin regulation context; do not infer therapeutic actionability from one evidence layer alone.
KMT2D,Epigenetic regulator,Histone methyltransferase,Chromatin regulation,KMT2D should be interpreted through Chromatin regulation context; do not infer therapeutic actionability from one evidence layer alone.
KRAS,Oncogene,Small GTPase,RAS-MAPK signaling,KRAS should be interpreted through RAS-MAPK signaling context; do not infer therapeutic actionability from one evidence layer alone.
LATS2,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,LATS2 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
MDM2,Oncogene / p53 regulator,E3 ubiquitin ligase,p53 suppression,MDM2 should be interpreted through p53 suppression context; do not infer therapeutic actionability from one evidence layer alone.
MDM4,Oncogene / p53 regulator,p53 pathway inhibitor,p53 suppression,MDM4 should be interpreted through p53 suppression context; do not infer therapeutic actionability from one evidence layer alone.
MEN1,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,MEN1 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
MET,Oncogene,Receptor tyrosine kinase,HGF-MET signaling,MET should be interpreted through HGF-MET signaling context; do not infer therapeutic actionability from one evidence layer alone.
MGMT,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,MGMT is included as a curated cancer-context gene; interpretation requires layer-specific validation.
MITF,Lineage transcription factor,Transcription factor,Melanocyte lineage state,MITF should be interpreted through Melanocyte lineage state context; do not infer therapeutic actionability from one evidence layer alone.
MLH1,DNA repair tumor suppressor,Mismatch repair gene,Mismatch repair / MSI,MLH1 should be interpreted through Mismatch repair / MSI context; do not infer therapeutic actionability from one evidence layer alone.
MSH2,DNA repair tumor suppressor,Mismatch repair gene,Mismatch repair / MSI,MSH2 should be interpreted through Mismatch repair / MSI context; do not infer therapeutic actionability from one evidence layer alone.
MSH6,DNA repair tumor suppressor,Mismatch repair gene,Mismatch repair / MSI,MSH6 should be interpreted through Mismatch repair / MSI context; do not infer therapeutic actionability from one evidence layer alone.
MSLN,Tumor-associated surface antigen,Cell-surface antigen,Tumor antigen context,MSLN should be interpreted through Tumor antigen context context; do not infer therapeutic actionability from one evidence layer alone.
MTOR,Growth signaling regulator,Serine/threonine kinase,mTOR signaling,MTOR should be interpreted through mTOR signaling context; do not infer therapeutic actionability from one evidence layer alone.
MUC1,Tumor-associated surface antigen,Mucin / surface glycoprotein,Epithelial tumor antigen context,MUC1 should be interpreted through Epithelial tumor antigen context context; do not infer therapeutic actionability from one evidence layer alone.
MUC16,Tumor-associated surface antigen,Mucin / surface glycoprotein,Tumor antigen context,MUC16 should be interpreted through Tumor antigen context context; do not infer therapeutic actionability from one evidence layer alone.
MYC,Oncogene,Transcription factor,Proliferation and growth control,MYC should be interpreted through Proliferation and growth control context; do not infer therapeutic actionability from one evidence layer alone.
MYD88,Immune signaling adaptor oncogene,Signaling adaptor,NF-kB signaling,MYD88 should be interpreted through NF-kB signaling context; do not infer therapeutic actionability from one evidence layer alone.
NECTIN4,Tumor-associated surface antigen,Cell adhesion / surface antigen,Epithelial tumor antigen context,NECTIN4 should be interpreted through Epithelial tumor antigen context context; do not infer therapeutic actionability from one evidence layer alone.
NES,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,NES is included as a curated cancer-context gene; interpretation requires layer-specific validation.
NF1,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,NF1 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
NF2,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,NF2 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
NFE2L2,Stress-response oncogene,Transcription factor,Oxidative stress response,NFE2L2 should be interpreted through Oxidative stress response context; do not infer therapeutic actionability from one evidence layer alone.
NOTCH1,Oncogene / tumor suppressor context-dependent,Notch receptor,Notch signaling,NOTCH1 should be interpreted through Notch signaling context; do not infer therapeutic actionability from one evidence layer alone.
NOTCH2,Oncogene / pathway receptor,Notch receptor,Notch signaling,NOTCH2 should be interpreted through Notch signaling context; do not infer therapeutic actionability from one evidence layer alone.
NPM1,Leukemia-associated gene,Nucleolar protein,AML subtype biology,NPM1 should be interpreted through AML subtype biology context; do not infer therapeutic actionability from one evidence layer alone.
NRAS,Oncogene,Small GTPase,RAS-MAPK signaling,NRAS should be interpreted through RAS-MAPK signaling context; do not infer therapeutic actionability from one evidence layer alone.
NTRK1,Oncogenic fusion kinase,Receptor tyrosine kinase,TRK signaling,NTRK1 should be interpreted through TRK signaling context; do not infer therapeutic actionability from one evidence layer alone.
NTRK3,Oncogenic fusion kinase,Receptor tyrosine kinase,TRK signaling,NTRK3 should be interpreted through TRK signaling context; do not infer therapeutic actionability from one evidence layer alone.
OIP5,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,OIP5 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
OLIG2,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,OLIG2 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
PALB2,DNA repair tumor suppressor,Homologous recombination repair gene,DNA repair,PALB2 should be interpreted through DNA repair context; do not infer therapeutic actionability from one evidence layer alone.
PBRM1,Chromatin regulator / tumor suppressor,SWI/SNF chromatin regulator,Chromatin remodeling,PBRM1 should be interpreted through Chromatin remodeling context; do not infer therapeutic actionability from one evidence layer alone.
PDCD1LG2,Immune checkpoint ligand,Immune checkpoint ligand,Tumor immune evasion,PDCD1LG2 should be interpreted through Tumor immune evasion context; do not infer therapeutic actionability from one evidence layer alone.
PDGFRA,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,PDGFRA is included as a curated cancer-context gene; interpretation requires layer-specific validation.
PGR,Hormone receptor biomarker,Nuclear hormone receptor,Progesterone receptor signaling,PGR should be interpreted through Progesterone receptor signaling context; do not infer therapeutic actionability from one evidence layer alone.
PIK3CA,Oncogene,PI3K catalytic subunit,PI3K-AKT signaling,PIK3CA should be interpreted through PI3K-AKT signaling context; do not infer therapeutic actionability from one evidence layer alone.
PIK3R1,Pathway regulator,PI3K regulatory subunit,PI3K-AKT signaling,PIK3R1 should be interpreted through PI3K-AKT signaling context; do not infer therapeutic actionability from one evidence layer alone.
PLCB4,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,PLCB4 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
PMS2,DNA repair tumor suppressor,Mismatch repair gene,Mismatch repair / MSI,PMS2 should be interpreted through Mismatch repair / MSI context; do not infer therapeutic actionability from one evidence layer alone.
POLE,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,POLE is included as a curated cancer-context gene; interpretation requires layer-specific validation.
PPARG,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,PPARG is included as a curated cancer-context gene; interpretation requires layer-specific validation.
PPP2R1A,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,PPP2R1A is included as a curated cancer-context gene; interpretation requires layer-specific validation.
PRKAR1A,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,PRKAR1A is included as a curated cancer-context gene; interpretation requires layer-specific validation.
PROM1,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,PROM1 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
PTEN,Tumor suppressor,Lipid phosphatase,PI3K pathway restraint,PTEN should be interpreted through PI3K pathway restraint context; do not infer therapeutic actionability from one evidence layer alone.
RAD51,DNA repair factor,Homologous recombination factor,DNA repair,RAD51 should be interpreted through DNA repair context; do not infer therapeutic actionability from one evidence layer alone.
RAD51C,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,RAD51C is included as a curated cancer-context gene; interpretation requires layer-specific validation.
RAD51D,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,RAD51D is included as a curated cancer-context gene; interpretation requires layer-specific validation.
RAS,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,RAS is included as a curated cancer-context gene; interpretation requires layer-specific validation.
RB1,Tumor suppressor,Cell-cycle checkpoint regulator,G1/S cell-cycle control,RB1 should be interpreted through G1/S cell-cycle control context; do not infer therapeutic actionability from one evidence layer alone.
RET,Oncogenic fusion kinase,Receptor tyrosine kinase,RET signaling,RET should be interpreted through RET signaling context; do not infer therapeutic actionability from one evidence layer alone.
ROS1,Oncogenic fusion kinase,Receptor tyrosine kinase,Fusion-driven RTK signaling,ROS1 should be interpreted through Fusion-driven RTK signaling context; do not infer therapeutic actionability from one evidence layer alone.
RUNX1,Lineage transcription factor / tumor suppressor,Transcription factor,Hematopoietic differentiation,RUNX1 should be interpreted through Hematopoietic differentiation context; do not infer therapeutic actionability from one evidence layer alone.
SETD2,Epigenetic regulator / tumor suppressor,Histone methyltransferase,Chromatin regulation / DNA repair,SETD2 should be interpreted through Chromatin regulation / DNA repair context; do not infer therapeutic actionability from one evidence layer alone.
SF3B1,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,SF3B1 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
SMAD4,Tumor suppressor,TGF-beta pathway mediator,TGF-beta signaling,SMAD4 should be interpreted through TGF-beta signaling context; do not infer therapeutic actionability from one evidence layer alone.
SMARCA4,Chromatin regulator / tumor suppressor,SWI/SNF ATPase,Chromatin remodeling,SMARCA4 should be interpreted through Chromatin remodeling context; do not infer therapeutic actionability from one evidence layer alone.
SMARCB1,Chromatin regulator / tumor suppressor,SWI/SNF component,Chromatin remodeling,SMARCB1 should be interpreted through Chromatin remodeling context; do not infer therapeutic actionability from one evidence layer alone.
SOX2,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,SOX2 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
SPOP,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,SPOP is included as a curated cancer-context gene; interpretation requires layer-specific validation.
SS18,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,SS18 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
TERT,Cancer-associated maintenance gene,Telomerase catalytic subunit,Telomere maintenance,TERT should be interpreted through Telomere maintenance context; do not infer therapeutic actionability from one evidence layer alone.
TET2,Epigenetic regulator / tumor suppressor,DNA demethylation regulator,DNA methylation state,TET2 should be interpreted through DNA methylation state context; do not infer therapeutic actionability from one evidence layer alone.
TGFBR2,Tumor suppressor / pathway receptor,TGF-beta receptor,TGF-beta signaling,TGFBR2 should be interpreted through TGF-beta signaling context; do not infer therapeutic actionability from one evidence layer alone.
TMPRSS2,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,TMPRSS2 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
TP53,Tumor suppressor,p53 pathway regulator,DNA damage response / cell-cycle checkpoint,TP53 should be interpreted through DNA damage response / cell-cycle checkpoint context; do not infer therapeutic actionability from one evidence layer alone.
TROP2,Tumor-associated surface antigen,Surface glycoprotein,Epithelial tumor antigen context,TROP2 should be interpreted through Epithelial tumor antigen context context; do not infer therapeutic actionability from one evidence layer alone.
VEGFA,Microenvironment / angiogenesis factor,Secreted ligand,Angiogenesis,VEGFA should be interpreted through Angiogenesis context; do not infer therapeutic actionability from one evidence layer alone.
VHL,Tumor suppressor,Hypoxia pathway regulator,HIF/oxygen sensing,VHL should be interpreted through HIF/oxygen sensing context; do not infer therapeutic actionability from one evidence layer alone.
ZNRF3,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,ZNRF3 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
